"Census.Tract","percent_households"
"Census Tract 1504.01",2.71493212669683
"Census Tract 1504.02",2.46913580246914
"Census Tract 1505.01",1.78571428571429
"Census Tract 1505.02",1.78117048346056
"Census Tract 1506",3.47222222222222
"Census Tract 1507",2.84697508896797
"Census Tract 1508",2.12765957446809
"Census Tract 1510.01",2.18818380743982
"Census Tract 1510.02",2.3643949930459
"Census Tract 1511",2.0501138952164
"Census Tract 1512",3.2967032967033
"Census Tract 1601",4.04040404040404
"Census Tract 1602",3.48675034867503
"Census Tract 1603",6.02582496413199
"Census Tract 1604",4.48717948717949
"Census Tract 1605.01",3.36391437308869
"Census Tract 1605.02",4.02576489533011
"Census Tract 1606.01",4.40528634361233
"Census Tract 1606.02",5.41310541310541
"Census Tract 1607",3.45132743362832
"Census Tract 1608",3.61842105263158
"Census Tract 1609",4.89642184557439
"Census Tract 1610",2.25
"Census Tract 1611",3.64025695931478
"Census Tract 1612",2.09125475285171
"Census Tract 1613",4.41176470588235
"Census Tract 1701",1.0840108401084
"Census Tract 1702",1.1968085106383
"Census Tract 1703",1.17416829745597
"Census Tract 1704",2.21703617269545
"Census Tract 1705",1.34408602150538
"Census Tract 1706",0.551470588235294
"Census Tract 1707",1.16279069767442
"Census Tract 1708",1.42671854734112
"Census Tract 1709",1.53374233128834
"Census Tract 1710",1.37741046831956
"Census Tract 1711",2.39294710327456
"Census Tract 1801",2.1018593371059
"Census Tract 1901",2.49307479224377
"Census Tract 1902",1.46561443066516
"Census Tract 1903",2.28013029315961
"Census Tract 1904.01",1.61507402422611
"Census Tract 1904.02",2.01567749160134
"Census Tract 1906.01",1.52439024390244
"Census Tract 1906.02",2.02622169249106
"Census Tract 1907.01",1.11856823266219
"Census Tract 1907.02",1.8348623853211
"Census Tract 1908",2.56653992395437
"Census Tract 1909",1.98019801980198
"Census Tract 1910",0.515463917525773
"Census Tract 1911",2.21238938053097
"Census Tract 1912",2.21843003412969
"Census Tract 1913.01",1.6304347826087
"Census Tract 1913.02",1.49863760217984
"Census Tract 2001",3.125
"Census Tract 2002",2.08333333333333
"Census Tract 2003",2.60586319218241
"Census Tract 2004.01",2.30496453900709
"Census Tract 2004.02",1.90336749633968
"Census Tract 2101",3.60884749708964
"Census Tract 2104",4.02414486921529
"Census Tract 2105.01",3.69127516778523
"Census Tract 2105.02",1.51515151515152
"Census Tract 2106.01",2.09205020920502
"Census Tract 2106.02",4.04624277456647
"Census Tract 2107",3.00957592339261
"Census Tract 2108",0.518134715025907
"Census Tract 2109",3.68731563421829
"Census Tract 2203",5.16129032258065
"Census Tract 2204",5.38033395176252
"Census Tract 2205",4.12926391382406
"Census Tract 2206.01",6.12903225806452
"Census Tract 2206.02",5.47770700636943
"Census Tract 2207.01",4.18250950570342
"Census Tract 2207.02",5
"Census Tract 2209.01",4.75113122171946
"Census Tract 2209.02",3.68217054263566
"Census Tract 2210",5.58252427184466
"Census Tract 2211",4.59459459459459
"Census Tract 2212",6.16666666666667
"Census Tract 2213",2.82186948853616
"Census Tract 2214",3.7463976945245
"Census Tract 2215",2.5974025974026
"Census Tract 2216",4.03225806451613
"Census Tract 2222",3.6734693877551
"Census Tract 2225",1.82481751824818
"Census Tract 2226",6.99300699300699
"Census Tract 2227",4.21686746987952
"Census Tract 2228",6.79012345679012
"Census Tract 2229",5.58659217877095
"Census Tract 2301",7.30769230769231
"Census Tract 2302",4.26229508196721
"Census Tract 2303",3.7037037037037
"Census Tract 2304",3.51351351351351
"Census Tract 2305",2.85714285714286
"Census Tract 2306",3.34448160535117
"Census Tract 2307",3.56394129979036
"Census Tract 2308",2.59067357512953
"Census Tract 2309",4.6814044213264
"Census Tract 2311",4.89510489510489
"Census Tract 2312",3.02114803625378
"Census Tract 2315",5.27306967984934
"Census Tract 2402",4.20168067226891
"Census Tract 2403",4.23452768729642
"Census Tract 2405",4.81203007518797
"Census Tract 2406",4.39882697947214
"Census Tract 2407",2.87769784172662
"Census Tract 2408",3.38983050847458
"Census Tract 2409",7.52688172043011
"Census Tract 2410",6.09756097560976
"Census Tract 2411",3.13479623824451
"Census Tract 2412",4.91329479768786
"Census Tract 2413",2.05278592375367
"Census Tract 2414",2.77777777777778
"Census Tract 2415",2.40770465489567
"Census Tract 2416",3.43213728549142
"Census Tract 2420",2.98329355608592
"Census Tract 2421",3.41880341880342
"Census Tract 2422",3.20247933884298
"Census Tract 2423",3.7037037037037
"Census Tract 2424",3.10457516339869
"Census Tract 2425",3.38028169014085
"Census Tract 2426",4.42978322337418
"Census Tract 2427",3.78548895899054
"Census Tract 2428",2.05278592375367
"Census Tract 2429",4.09638554216868
"Census Tract 2430",2.51450676982592
"Census Tract 2431",3.37552742616034
"Census Tract 2432",4.66019417475728
"Census Tract 2433",5.04672897196262
"Census Tract 2434",4.31034482758621
"Census Tract 2435",3.96600566572238
"Census Tract 2502",1.48883374689826
"Census Tract 2503",2.13464696223317
"Census Tract 2504",1.57593123209169
"Census Tract 2505",2.65076209410205
"Census Tract 2506",3.4136546184739
"Census Tract 2507",2.16666666666667
"Census Tract 2508",1.78571428571429
"Census Tract 2510",7.01754385964912
"Census Tract 2511",2.78422273781903
"Census Tract 2512",1.40845070422535
"Census Tract 2513",2.75590551181102
"Census Tract 2514",2.37529691211401
"Census Tract 2515",2.72277227722772
"Census Tract 2516",0.869565217391304
"Census Tract 2517",2.77777777777778
"Census Tract 2518",2.72727272727273
"Census Tract 2519",5.11727078891258
"Census Tract 2520",3.90946502057613
"Census Tract 2521.01",4.13793103448276
"Census Tract 2521.02",3.35097001763668
"Census Tract 2522.01",1.61290322580645
"Census Tract 2522.02",2.36686390532544
"Census Tract 2601",0.840336134453782
"Census Tract 2602",3.2967032967033
"Census Tract 2603",4.16666666666667
"Census Tract 2604",3.2520325203252
"Census Tract 2605",0.645161290322581
"Census Tract 2606",6.2111801242236
"Census Tract 2607",2.41935483870968
"Census Tract 2608",2.67379679144385
"Census Tract 2609",5.40540540540541
"Census Tract 2610",2.05128205128205
"Census Tract 2705",0.884955752212389
"Census Tract 2712",9
"Census Tract 2713",4.05405405405405
"Census Tract 2714",3.6036036036036
"Census Tract 2715",1.68067226890756
"Census Tract 2718",2.7027027027027
"Census Tract 2801",3.51673284174702
"Census Tract 2804",6.25
"Census Tract 2808",7.79220779220779
"Census Tract 2809",5.37634408602151
"Census Tract 2819",4.43081117927744
"Census Tract 2827",3.28767123287671
"Census Tract 2828",6.58914728682171
"Census Tract 2831",2.76923076923077
"Census Tract 2832",1.76991150442478
"Census Tract 2838",4.76190476190476
"Census Tract 2909",5.11363636363636
"Census Tract 2912",5.55555555555556
"Census Tract 2916",4.41176470588235
"Census Tract 2922",4.81481481481481
"Census Tract 2924",5.94594594594595
"Census Tract 2925",3.04568527918782
"Census Tract 3005",1.6
"Census Tract 3006",2.61904761904762
"Census Tract 3007",1.96374622356495
"Census Tract 3008",1.49006622516556
"Census Tract 3009",2.67983074753173
"Census Tract 3011",0.318471337579618
"Census Tract 3012",2.77777777777778
"Census Tract 3016",0.833333333333333
"Census Tract 3017.01",1.21212121212121
"Census Tract 3017.02",1.28617363344051
"Census Tract 3018.01",0.617283950617284
"Census Tract 3018.02",2.5844930417495
"Census Tract 3018.03",1.30039011703511
"Census Tract 3102",5.94059405940594
"Census Tract 3103",3.96039603960396
"Census Tract 3104",2.99145299145299
"Census Tract 3105",4.16666666666667
"Census Tract 3106",5.25
"Census Tract 3107",3.75586854460094
"Census Tract 3108",2.94985250737463
"Census Tract 3109",2.76243093922652
