"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 507","Cook County","Illinois","3.54%",308,7,74,7,396,14,3.53535353535354
"Census Tract 508","Cook County","Illinois","2.89%",267,3,35,6,311,9,2.89389067524116
"Census Tract 509","Cook County","Illinois","1.24%",250,3,69,1,323,4,1.23839009287926
"Census Tract 510","Cook County","Illinois","1.68%",292,5,60,1,358,6,1.67597765363128
"Census Tract 511","Cook County","Illinois","4.74%",322,16,60,3,401,19,4.73815461346633
"Census Tract 512","Cook County","Illinois","2.91%",269,5,65,5,344,10,2.90697674418605
"Census Tract 513","Cook County","Illinois","2.93%",617,11,78,10,716,21,2.93296089385475
"Census Tract 514","Cook County","Illinois","3.50%",411,7,113,12,543,19,3.49907918968692
"Census Tract 601","Cook County","Illinois","4.29%",471,15,154,13,653,28,4.28790199081164
"Census Tract 602","Cook County","Illinois","6.81%",350,22,115,12,499,34,6.81362725450902
"Census Tract 603","Cook County","Illinois","3.49%",554,16,109,8,687,24,3.49344978165939
"Census Tract 604","Cook County","Illinois","4.05%",668,16,137,18,839,34,4.05244338498212
"Census Tract 605","Cook County","Illinois","5.13%",186,4,36,8,234,12,5.12820512820513
"Census Tract 608","Cook County","Illinois","14.71%",567,83,245,57,952,140,14.7058823529412
"Census Tract 609","Cook County","Illinois","15.76%",739,91,293,102,1225,193,15.7551020408163
"Census Tract 610","Cook County","Illinois","21.57%",211,46,98,39,394,85,21.5736040609137
"Census Tract 611","Cook County","Illinois","4.21%",140,2,65,7,214,9,4.20560747663551
"Census Tract 612","Cook County","Illinois","5.00%",231,9,73,7,320,16,5
"Census Tract 615","Cook County","Illinois","5.78%",230,10,96,10,346,20,5.78034682080925
"Census Tract 618","Cook County","Illinois","24.31%",81,18,56,26,181,44,24.3093922651934
"Census Tract 619.01","Cook County","Illinois","14.52%",352,45,160,42,599,87,14.5242070116861
"Census Tract 619.02","Cook County","Illinois","12.91%",592,66,224,55,937,121,12.9135538954109
"Census Tract 620","Cook County","Illinois","18.44%",301,54,137,45,537,99,18.4357541899441
"Census Tract 621","Cook County","Illinois","19.12%",352,69,181,57,659,126,19.1198786039454
"Census Tract 622","Cook County","Illinois","5.99%",444,19,152,19,634,38,5.99369085173502
"Census Tract 623","Cook County","Illinois","5.66%",276,8,74,13,371,21,5.66037735849057
"Census Tract 624","Cook County","Illinois","6.72%",268,13,65,11,357,24,6.72268907563025
"Census Tract 625","Cook County","Illinois","8.05%",259,14,61,14,348,28,8.04597701149425
"Census Tract 626","Cook County","Illinois","3.85%",477,13,72,9,571,22,3.85288966725044
"Census Tract 627","Cook County","Illinois","4.91%",464,21,117,9,611,30,4.90998363338789
"Census Tract 628","Cook County","Illinois","3.65%",637,17,154,13,821,30,3.65408038976857
"Census Tract 629","Cook County","Illinois","5.67%",570,19,178,26,793,45,5.67465321563682
"Census Tract 630","Cook County","Illinois","5.54%",351,15,246,20,632,35,5.5379746835443
"Census Tract 631","Cook County","Illinois","13.25%",259,28,134,32,453,60,13.2450331125828
"Census Tract 632","Cook County","Illinois","9.63%",841,56,294,65,1256,121,9.63375796178344
"Census Tract 633.01","Cook County","Illinois","8.63%",220,13,161,23,417,36,8.63309352517986
"Census Tract 633.02","Cook County","Illinois","6.96%",494,28,241,27,790,55,6.9620253164557
"Census Tract 633.03","Cook County","Illinois","7.56%",171,8,37,9,225,17,7.55555555555556
"Census Tract 634","Cook County","Illinois","8.65%",280,18,100,18,416,36,8.65384615384615
"Census Tract 701.01","Cook County","Illinois","3.13%",527,14,185,9,735,23,3.12925170068027
"Census Tract 701.02","Cook County","Illinois","2.64%",385,4,168,11,568,15,2.64084507042254
"Census Tract 701.03","Cook County","Illinois","4.89%",123,5,91,6,225,11,4.88888888888889
