"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 2423","Cook County","Illinois","3.70%",543,8,237,22,810,30,3.7037037037037
"Census Tract 2424","Cook County","Illinois","3.10%",406,10,187,9,612,19,3.10457516339869
"Census Tract 2425","Cook County","Illinois","3.38%",479,8,207,16,710,24,3.38028169014085
"Census Tract 2426","Cook County","Illinois","4.43%",672,25,342,22,1061,47,4.42978322337418
"Census Tract 2427","Cook County","Illinois","3.79%",232,5,73,7,317,12,3.78548895899054
"Census Tract 2428","Cook County","Illinois","2.05%",268,4,66,3,341,7,2.05278592375367
"Census Tract 2429","Cook County","Illinois","4.10%",295,8,103,9,415,17,4.09638554216868
"Census Tract 2430","Cook County","Illinois","2.51%",367,6,137,7,517,13,2.51450676982592
"Census Tract 2431","Cook County","Illinois","3.38%",359,8,99,8,474,16,3.37552742616034
"Census Tract 2432","Cook County","Illinois","4.66%",378,8,113,16,515,24,4.66019417475728
"Census Tract 2433","Cook County","Illinois","5.05%",345,19,163,8,535,27,5.04672897196262
"Census Tract 2434","Cook County","Illinois","4.31%",359,11,196,14,580,25,4.31034482758621
"Census Tract 2435","Cook County","Illinois","3.97%",644,11,373,31,1059,42,3.96600566572238
"Census Tract 2502","Cook County","Illinois","1.49%",311,2,86,4,403,6,1.48883374689826
"Census Tract 2503","Cook County","Illinois","2.13%",462,6,134,7,609,13,2.13464696223317
"Census Tract 2504","Cook County","Illinois","1.58%",556,8,131,3,698,11,1.57593123209169
"Census Tract 2505","Cook County","Illinois","2.65%",1314,28,155,12,1509,40,2.65076209410205
"Census Tract 2506","Cook County","Illinois","3.41%",404,12,77,5,498,17,3.4136546184739
"Census Tract 2507","Cook County","Illinois","2.17%",443,8,144,5,600,13,2.16666666666667
"Census Tract 2508","Cook County","Illinois","1.79%",218,3,57,2,280,5,1.78571428571429
"Census Tract 2510","Cook County","Illinois","7.02%",76,3,30,5,114,8,7.01754385964912
"Census Tract 2511","Cook County","Illinois","2.78%",320,8,99,4,431,12,2.78422273781903
"Census Tract 2512","Cook County","Illinois","1.41%",345,4,75,2,426,6,1.40845070422535
"Census Tract 2513","Cook County","Illinois","2.76%",363,9,131,5,508,14,2.75590551181102
"Census Tract 2514","Cook County","Illinois","2.38%",297,6,114,4,421,10,2.37529691211401
"Census Tract 2515","Cook County","Illinois","2.72%",254,4,139,7,404,11,2.72277227722772
"Census Tract 2516","Cook County","Illinois","0.87%",227,0,115,3,345,3,0.869565217391304
"Census Tract 2517","Cook County","Illinois","2.78%",101,1,39,3,144,4,2.77777777777778
"Census Tract 2518","Cook County","Illinois","2.73%",275,5,153,7,440,12,2.72727272727273
"Census Tract 2519","Cook County","Illinois","5.12%",235,11,210,13,469,24,5.11727078891258
"Census Tract 2520","Cook County","Illinois","3.91%",287,3,180,16,486,19,3.90946502057613
"Census Tract 2521.01","Cook County","Illinois","4.14%",77,6,62,0,145,6,4.13793103448276
"Census Tract 2521.02","Cook County","Illinois","3.35%",361,9,187,10,567,19,3.35097001763668
"Census Tract 2522.01","Cook County","Illinois","1.61%",159,2,85,2,248,4,1.61290322580645
"Census Tract 2522.02","Cook County","Illinois","2.37%",215,5,115,3,338,8,2.36686390532544
"Census Tract 2601","Cook County","Illinois","0.84%",77,1,41,0,119,1,0.840336134453782
"Census Tract 2602","Cook County","Illinois","3.30%",57,1,31,2,91,3,3.2967032967033
"Census Tract 2603","Cook County","Illinois","4.17%",76,1,39,4,120,5,4.16666666666667
"Census Tract 2604","Cook County","Illinois","3.25%",72,1,47,3,123,4,3.2520325203252
"Census Tract 2605","Cook County","Illinois","0.65%",87,1,67,0,155,1,0.645161290322581
"Census Tract 2606","Cook County","Illinois","6.21%",96,4,55,6,161,10,6.2111801242236
"Census Tract 2607","Cook County","Illinois","2.42%",79,2,42,1,124,3,2.41935483870968
"Census Tract 2608","Cook County","Illinois","2.67%",119,3,63,2,187,5,2.67379679144385
"Census Tract 2609","Cook County","Illinois","5.41%",66,0,39,6,111,6,5.40540540540541
"Census Tract 2610","Cook County","Illinois","2.05%",143,1,48,3,195,4,2.05128205128205
"Census Tract 2705","Cook County","Illinois","0.88%",67,1,45,0,113,1,0.884955752212389
"Census Tract 2712","Cook County","Illinois","9.00%",58,4,33,5,100,9,9
"Census Tract 2713","Cook County","Illinois","4.05%",49,1,22,2,74,3,4.05405405405405
"Census Tract 2714","Cook County","Illinois","3.60%",68,2,39,2,111,4,3.6036036036036
"Census Tract 2715","Cook County","Illinois","1.68%",90,1,27,1,119,2,1.68067226890756
"Census Tract 2718","Cook County","Illinois","2.70%",56,2,16,0,74,2,2.7027027027027
"Census Tract 2801","Cook County","Illinois","3.52%",1061,31,640,31,1763,62,3.51673284174702
"Census Tract 2804","Cook County","Illinois","6.25%",62,6,28,0,96,6,6.25
"Census Tract 2808","Cook County","Illinois","7.79%",47,5,24,1,77,6,7.79220779220779
"Census Tract 2809","Cook County","Illinois","5.38%",67,2,21,3,93,5,5.37634408602151
"Census Tract 2819","Cook County","Illinois","4.43%",949,33,453,32,1467,65,4.43081117927744
"Census Tract 2827","Cook County","Illinois","3.29%",267,6,86,6,365,12,3.28767123287671
"Census Tract 2828","Cook County","Illinois","6.59%",190,7,51,10,258,17,6.58914728682171
"Census Tract 2831","Cook County","Illinois","2.77%",220,6,96,3,325,9,2.76923076923077
"Census Tract 2832","Cook County","Illinois","1.77%",183,2,39,2,226,4,1.76991150442478
"Census Tract 2838","Cook County","Illinois","4.76%",380,18,120,7,525,25,4.76190476190476
"Census Tract 2909","Cook County","Illinois","5.11%",216,9,118,9,352,18,5.11363636363636
"Census Tract 2912","Cook County","Illinois","5.56%",73,5,63,3,144,8,5.55555555555556
"Census Tract 2916","Cook County","Illinois","4.41%",104,1,26,5,136,6,4.41176470588235
"Census Tract 2922","Cook County","Illinois","4.81%",185,7,72,6,270,13,4.81481481481481
"Census Tract 2924","Cook County","Illinois","5.95%",122,6,52,5,185,11,5.94594594594595
"Census Tract 2925","Cook County","Illinois","3.05%",272,4,110,8,394,12,3.04568527918782
"Census Tract 3005","Cook County","Illinois","1.60%",383,4,109,4,500,8,1.6
"Census Tract 3006","Cook County","Illinois","2.62%",324,6,85,5,420,11,2.61904761904762
"Census Tract 3007","Cook County","Illinois","1.96%",497,10,152,3,662,13,1.96374622356495
"Census Tract 3008","Cook County","Illinois","1.49%",486,6,109,3,604,9,1.49006622516556
"Census Tract 3009","Cook County","Illinois","2.68%",531,13,159,6,709,19,2.67983074753173
"Census Tract 3011","Cook County","Illinois","0.32%",235,0,78,1,314,1,0.318471337579618
"Census Tract 3012","Cook County","Illinois","2.78%",415,7,110,8,540,15,2.77777777777778
"Census Tract 3016","Cook County","Illinois","0.83%",584,1,130,5,720,6,0.833333333333333
"Census Tract 3017.01","Cook County","Illinois","1.21%",550,6,102,2,660,8,1.21212121212121
"Census Tract 3017.02","Cook County","Illinois","1.29%",518,3,96,5,622,8,1.28617363344051
"Census Tract 3018.01","Cook County","Illinois","0.62%",539,2,105,2,648,4,0.617283950617284
"Census Tract 3018.02","Cook County","Illinois","2.58%",410,6,80,7,503,13,2.5844930417495
"Census Tract 3018.03","Cook County","Illinois","1.30%",632,9,127,1,769,10,1.30039011703511
"Census Tract 3102","Cook County","Illinois","5.94%",189,7,96,11,303,18,5.94059405940594
"Census Tract 3103","Cook County","Illinois","3.96%",214,2,77,10,303,12,3.96039603960396
"Census Tract 3104","Cook County","Illinois","2.99%",150,3,77,4,234,7,2.99145299145299
"Census Tract 3105","Cook County","Illinois","4.17%",160,3,70,7,240,10,4.16666666666667
"Census Tract 3106","Cook County","Illinois","5.25%",499,18,259,24,800,42,5.25
"Census Tract 3107","Cook County","Illinois","3.76%",142,4,63,4,213,8,3.75586854460094
"Census Tract 3108","Cook County","Illinois","2.95%",484,8,174,12,678,20,2.94985250737463
"Census Tract 3109","Cook County","Illinois","2.76%",526,5,178,15,724,20,2.76243093922652
"Census Tract 3201.01","Cook County","Illinois","4.25%",1809,68,377,29,2283,97,4.24879544459045
"Census Tract 3201.02","Cook County","Illinois","6.76%",669,37,227,28,961,65,6.76378772112383
"Census Tract 3204","Cook County","Illinois","5.34%",346,14,44,8,412,22,5.33980582524272
"Census Tract 3206","Cook County","Illinois","5.01%",864,43,350,21,1278,64,5.00782472613459
"Census Tract 3301.01","Cook County","Illinois","3.53%",1075,23,128,21,1247,44,3.52846832397755
"Census Tract 3301.02","Cook County","Illinois","5.12%",1731,59,623,68,2481,127,5.11890366787586
"Census Tract 3301.03","Cook County","Illinois","5.20%",1117,46,360,35,1558,81,5.198973042362
"Census Tract 3302","Cook County","Illinois","2.85%",737,15,80,9,841,24,2.85374554102259
"Census Tract 3403","Cook County","Illinois","0.88%",319,0,20,3,342,3,0.87719298245614
"Census Tract 3404","Cook County","Illinois","1.25%",286,0,31,4,321,4,1.24610591900312
"Census Tract 3405","Cook County","Illinois","2.62%",304,3,31,6,344,9,2.61627906976744
"Census Tract 3406","Cook County","Illinois","4.08%",28,1,19,1,49,2,4.08163265306122
"Census Tract 3501","Cook County","Illinois","4.37%",154,1,65,9,229,10,4.36681222707424
"Census Tract 3504","Cook County","Illinois","1.49%",31,0,35,1,67,1,1.49253731343284
"Census Tract 3510","Cook County","Illinois","4.83%",266,9,89,9,373,18,4.82573726541555
"Census Tract 3511","Cook County","Illinois","2.06%",55,1,40,1,97,2,2.06185567010309
"Census Tract 3514","Cook County","Illinois","1.18%",56,0,28,1,85,1,1.17647058823529
"Census Tract 3515","Cook County","Illinois","5.33%",53,0,18,4,75,4,5.33333333333333
"Census Tract 3602","Cook County","Illinois","3.85%",73,0,27,4,104,4,3.84615384615385
"Census Tract 3801","Cook County","Illinois","3.81%",163,5,39,3,210,8,3.80952380952381
"Census Tract 3802","Cook County","Illinois","5.64%",158,7,26,4,195,11,5.64102564102564
"Census Tract 3806","Cook County","Illinois","3.99%",210,8,103,5,326,13,3.98773006134969
"Census Tract 3812","Cook County","Illinois","5.00%",150,9,40,1,200,10,5
"Census Tract 3814","Cook County","Illinois","3.33%",94,1,51,4,150,5,3.33333333333333
"Census Tract 3815","Cook County","Illinois","10.87%",27,3,14,2,46,5,10.8695652173913
"Census Tract 3817","Cook County","Illinois","#DIV/0!",0,0,0,0,0,0,NA
"Census Tract 3818","Cook County","Illinois","6.00%",93,4,48,5,150,9,6
"Census Tract 3819","Cook County","Illinois","6.67%",90,4,22,4,120,8,6.66666666666667
"Census Tract 3901","Cook County","Illinois","9.78%",175,13,28,9,225,22,9.77777777777778
"Census Tract 3902","Cook County","Illinois","5.99%",193,9,58,7,267,16,5.99250936329588
"Census Tract 3903","Cook County","Illinois","3.29%",153,4,53,3,213,7,3.28638497652582
"Census Tract 3904","Cook County","Illinois","4.53%",185,4,68,8,265,12,4.52830188679245
"Census Tract 3905","Cook County","Illinois","7.39%",211,11,52,10,284,21,7.3943661971831
"Census Tract 3906","Cook County","Illinois","0.57%",318,0,32,2,352,2,0.568181818181818
"Census Tract 3907","Cook County","Illinois","4.34%",642,14,152,22,830,36,4.33734939759036
"Census Tract 4003","Cook County","Illinois","8.70%",73,4,32,6,115,10,8.69565217391304
"Census Tract 4004","Cook County","Illinois","3.36%",78,0,66,5,149,5,3.35570469798658
"Census Tract 4005","Cook County","Illinois","2.34%",126,2,83,3,214,5,2.33644859813084
"Census Tract 4008","Cook County","Illinois","1.38%",113,3,101,0,217,3,1.38248847926267
"Census Tract 4101","Cook County","Illinois","5.88%",211,7,77,11,306,18,5.88235294117647
"Census Tract 4102","Cook County","Illinois","4.24%",101,0,57,7,165,7,4.24242424242424
"Census Tract 4105","Cook County","Illinois","3.65%",260,3,83,10,356,13,3.65168539325843
"Census Tract 4106","Cook County","Illinois","5.00%",239,9,46,6,300,15,5
"Census Tract 4107","Cook County","Illinois","4.62%",275,13,76,4,368,17,4.6195652173913
"Census Tract 4108","Cook County","Illinois","2.77%",335,4,86,8,433,12,2.77136258660508
"Census Tract 4109","Cook County","Illinois","4.17%",486,11,135,16,648,27,4.16666666666667
"Census Tract 4110","Cook County","Illinois","4.55%",431,15,115,11,572,26,4.54545454545455
"Census Tract 4111","Cook County","Illinois","2.91%",371,8,29,4,412,12,2.9126213592233
"Census Tract 4112","Cook County","Illinois","3.57%",282,8,42,4,336,12,3.57142857142857
"Census Tract 4201","Cook County","Illinois","9.17%",70,3,29,7,109,10,9.1743119266055
"Census Tract 4202","Cook County","Illinois","2.16%",102,2,34,1,139,3,2.15827338129496
"Census Tract 4203","Cook County","Illinois","3.91%",122,1,50,6,179,7,3.91061452513966
"Census Tract 4204","Cook County","Illinois","8.77%",124,5,32,10,171,15,8.7719298245614
"Census Tract 4205","Cook County","Illinois","3.63%",130,2,56,5,193,7,3.62694300518135
"Census Tract 4206","Cook County","Illinois","5.24%",121,1,60,9,191,10,5.23560209424084
"Census Tract 4207","Cook County","Illinois","6.28%",134,11,90,4,239,15,6.27615062761506
"Census Tract 4208","Cook County","Illinois","8.16%",126,8,54,8,196,16,8.16326530612245
"Census Tract 4212","Cook County","Illinois","8.41%",72,3,26,6,107,9,8.41121495327103
"Census Tract 4301.01","Cook County","Illinois","6.54%",213,11,130,13,367,24,6.53950953678474
"Census Tract 4301.02","Cook County","Illinois","7.09%",150,8,86,10,254,18,7.08661417322835
"Census Tract 4302","Cook County","Illinois","4.66%",333,15,138,8,494,23,4.65587044534413
"Census Tract 4303","Cook County","Illinois","4.08%",122,2,66,6,196,8,4.08163265306122
"Census Tract 4304","Cook County","Illinois","3.38%",176,1,53,7,237,8,3.37552742616034
"Census Tract 4305","Cook County","Illinois","4.13%",184,7,118,6,315,13,4.12698412698413
"Census Tract 4306","Cook County","Illinois","6.35%",141,8,36,4,189,12,6.34920634920635
"Census Tract 4307","Cook County","Illinois","5.13%",128,7,57,3,195,10,5.12820512820513
"Census Tract 4308","Cook County","Illinois","3.93%",170,7,50,2,229,9,3.93013100436681
"Census Tract 4309","Cook County","Illinois","5.68%",134,5,32,5,176,10,5.68181818181818
"Census Tract 4312","Cook County","Illinois","6.79%",250,11,52,11,324,22,6.79012345679012
"Census Tract 4313.01","Cook County","Illinois","5.97%",193,1,122,19,335,20,5.97014925373134
"Census Tract 4313.02","Cook County","Illinois","7.69%",173,10,187,20,390,30,7.69230769230769
"Census Tract 4314","Cook County","Illinois","2.64%",368,5,186,10,569,15,2.63620386643234
"Census Tract 4401.01","Cook County","Illinois","6.68%",171,8,178,17,374,25,6.68449197860963
"Census Tract 4401.02","Cook County","Illinois","5.87%",226,7,111,14,358,21,5.8659217877095
"Census Tract 4402.01","Cook County","Illinois","3.32%",285,7,152,8,452,15,3.31858407079646
"Census Tract 4402.02","Cook County","Illinois","2.97%",254,0,73,10,337,10,2.9673590504451
"Census Tract 4403","Cook County","Illinois","1.34%",484,1,104,7,596,8,1.34228187919463
"Census Tract 4406","Cook County","Illinois","1.94%",218,2,35,3,258,5,1.93798449612403
"Census Tract 4407","Cook County","Illinois","3.18%",122,2,30,3,157,5,3.18471337579618
"Census Tract 4408","Cook County","Illinois","6.00%",89,5,52,4,150,9,6
"Census Tract 4409","Cook County","Illinois","5.75%",159,5,54,8,226,13,5.75221238938053
"Census Tract 4503","Cook County","Illinois","2.62%",298,6,74,4,382,10,2.61780104712042
"Census Tract 4601","Cook County","Illinois","6.23%",206,9,80,10,305,19,6.22950819672131
"Census Tract 4602","Cook County","Illinois","1.81%",165,0,52,4,221,4,1.80995475113122
"Census Tract 4603.01","Cook County","Illinois","3.60%",247,10,74,2,333,12,3.6036036036036
"Census Tract 4603.02","Cook County","Illinois","2.59%",231,6,108,3,348,9,2.58620689655172
"Census Tract 4604","Cook County","Illinois","3.09%",272,7,73,4,356,11,3.08988764044944
"Census Tract 4605","Cook County","Illinois","2.09%",457,5,106,7,575,12,2.08695652173913
"Census Tract 4608","Cook County","Illinois","0.87%",260,2,83,1,346,3,0.867052023121387
"Census Tract 4610","Cook County","Illinois","5.56%",66,5,19,0,90,5,5.55555555555556
"Census Tract 4701","Cook County","Illinois","1.54%",208,3,47,1,259,4,1.54440154440154
"Census Tract 4801","Cook County","Illinois","1.61%",211,4,34,0,249,4,1.60642570281124
"Census Tract 4802","Cook County","Illinois","0.88%",96,0,17,1,114,1,0.87719298245614
"Census Tract 4803","Cook County","Illinois","3.80%",124,4,28,2,158,6,3.79746835443038
"Census Tract 4804","Cook County","Illinois","1.55%",677,9,87,3,776,12,1.54639175257732
"Census Tract 4805","Cook County","Illinois","1.93%",288,5,68,2,363,7,1.92837465564738
"Census Tract 4902","Cook County","Illinois","1.70%",286,5,61,1,353,6,1.69971671388102
"Census Tract 4905","Cook County","Illinois","2.48%",170,3,27,2,202,5,2.47524752475248
"Census Tract 4906","Cook County","Illinois","1.69%",146,2,28,1,177,3,1.69491525423729
"Census Tract 4907","Cook County","Illinois","2.25%",202,5,59,1,267,6,2.24719101123596
"Census Tract 4908","Cook County","Illinois","2.69%",292,8,70,2,372,10,2.68817204301075
"Census Tract 4909.01","Cook County","Illinois","2.83%",244,2,99,8,353,10,2.8328611898017
"Census Tract 4909.02","Cook County","Illinois","1.38%",398,4,102,3,507,7,1.38067061143984
"Census Tract 4910","Cook County","Illinois","2.22%",217,3,91,4,315,7,2.22222222222222
"Census Tract 4911","Cook County","Illinois","1.65%",417,5,61,3,486,8,1.64609053497942
"Census Tract 4912","Cook County","Illinois","2.20%",192,3,30,2,227,5,2.20264317180617
"Census Tract 4913","Cook County","Illinois","3.68%",114,2,43,4,163,6,3.68098159509202
"Census Tract 4914","Cook County","Illinois","0.85%",162,0,72,2,236,2,0.847457627118644
"Census Tract 5001","Cook County","Illinois","2.43%",299,8,63,1,371,9,2.42587601078167
"Census Tract 5002","Cook County","Illinois","4.41%",89,6,41,0,136,6,4.41176470588235
"Census Tract 5003","Cook County","Illinois","2.51%",178,3,55,3,239,6,2.51046025104602
"Census Tract 5101","Cook County","Illinois","2.39%",426,6,65,6,503,12,2.38568588469185
"Census Tract 5102","Cook County","Illinois","0.83%",297,2,60,1,360,3,0.833333333333333
"Census Tract 5103","Cook County","Illinois","2.25%",355,7,80,3,445,10,2.24719101123596
"Census Tract 5201","Cook County","Illinois","0.36%",225,0,50,1,276,1,0.36231884057971
"Census Tract 5202","Cook County","Illinois","4.03%",357,15,96,4,472,19,4.02542372881356
"Census Tract 5203","Cook County","Illinois","0.84%",819,5,121,3,948,8,0.843881856540084
"Census Tract 5204","Cook County","Illinois","1.25%",564,3,69,5,641,8,1.24804992199688
"Census Tract 5205","Cook County","Illinois","0.98%",724,6,83,2,815,8,0.98159509202454
"Census Tract 5206","Cook County","Illinois","1.75%",407,5,41,3,456,8,1.75438596491228
"Census Tract 5301","Cook County","Illinois","1.67%",194,3,41,1,239,4,1.67364016736402
"Census Tract 5302","Cook County","Illinois","2.97%",224,4,70,5,303,9,2.97029702970297
"Census Tract 5303","Cook County","Illinois","2.13%",292,7,76,1,376,8,2.12765957446809
"Census Tract 5304","Cook County","Illinois","0.00%",208,0,33,0,241,0,0
"Census Tract 5305.01","Cook County","Illinois","1.18%",337,4,82,1,424,5,1.17924528301887
"Census Tract 5305.02","Cook County","Illinois","3.63%",154,2,32,5,193,7,3.62694300518135
"Census Tract 5305.03","Cook County","Illinois","2.01%",442,8,94,3,547,11,2.0109689213894
"Census Tract 5306","Cook County","Illinois","1.99%",193,1,53,4,251,5,1.99203187250996
"Census Tract 5401.01","Cook County","Illinois","2.69%",127,6,90,0,223,6,2.69058295964126
"Census Tract 5401.02","Cook County","Illinois","2.10%",92,0,48,3,143,3,2.0979020979021
"Census Tract 5501","Cook County","Illinois","0.75%",1015,5,175,4,1199,9,0.750625521267723
"Census Tract 5502","Cook County","Illinois","0.36%",501,2,59,0,562,2,0.355871886120996
"Census Tract 5601","Cook County","Illinois","2.76%",152,2,24,3,181,5,2.76243093922652
"Census Tract 5602","Cook County","Illinois","1.48%",175,2,25,1,203,3,1.47783251231527
"Census Tract 5603","Cook County","Illinois","1.05%",514,3,54,3,574,6,1.04529616724739
"Census Tract 5604","Cook County","Illinois","1.33%",274,3,23,1,301,4,1.32890365448505
"Census Tract 5607","Cook County","Illinois","1.83%",518,8,72,3,601,11,1.83028286189684
"Census Tract 5608","Cook County","Illinois","0.83%",964,5,114,4,1087,9,0.827966881324747
"Census Tract 5609","Cook County","Illinois","1.27%",988,7,97,7,1099,14,1.27388535031847
"Census Tract 5610","Cook County","Illinois","1.32%",1032,8,87,7,1134,15,1.32275132275132
"Census Tract 5611","Cook County","Illinois","1.30%",1044,11,99,4,1158,15,1.29533678756477
"Census Tract 5701","Cook County","Illinois","1.42%",174,3,34,0,211,3,1.4218009478673
"Census Tract 5702","Cook County","Illinois","1.10%",325,4,36,0,365,4,1.0958904109589
"Census Tract 5703","Cook County","Illinois","2.22%",885,13,128,10,1036,23,2.22007722007722
"Census Tract 5704","Cook County","Illinois","1.09%",238,3,34,0,275,3,1.09090909090909
"Census Tract 5705","Cook County","Illinois","1.39%",373,6,54,0,433,6,1.38568129330254
"Census Tract 5801","Cook County","Illinois","1.67%",464,8,67,1,540,9,1.66666666666667
"Census Tract 5802","Cook County","Illinois","1.73%",458,6,53,3,520,9,1.73076923076923
"Census Tract 5803","Cook County","Illinois","0.76%",353,3,37,0,393,3,0.763358778625954
"Census Tract 5804","Cook County","Illinois","1.28%",657,7,115,3,782,10,1.27877237851662
"Census Tract 5805.01","Cook County","Illinois","1.94%",698,8,109,8,823,16,1.94410692588092
"Census Tract 5805.02","Cook County","Illinois","1.71%",739,9,123,6,877,15,1.71037628278221
"Census Tract 5806","Cook County","Illinois","1.31%",688,4,139,7,838,11,1.3126491646778
"Census Tract 5807","Cook County","Illinois","0.86%",781,3,143,5,932,8,0.858369098712446
"Census Tract 5808","Cook County","Illinois","3.12%",259,6,52,4,321,10,3.11526479750779
"Census Tract 5905","Cook County","Illinois","0.86%",285,1,62,2,350,3,0.857142857142857
"Census Tract 5906","Cook County","Illinois","2.05%",493,9,81,3,586,12,2.04778156996587
"Census Tract 5907","Cook County","Illinois","1.50%",438,2,86,6,532,8,1.50375939849624
"Census Tract 6004","Cook County","Illinois","1.32%",689,5,60,5,759,10,1.31752305665349
"Census Tract 6006","Cook County","Illinois","2.33%",428,5,75,7,515,12,2.33009708737864
"Census Tract 6007","Cook County","Illinois","1.41%",425,4,66,3,498,7,1.40562248995984
"Census Tract 6009","Cook County","Illinois","3.25%",494,6,131,15,646,21,3.25077399380805
"Census Tract 6103","Cook County","Illinois","2.84%",617,13,170,10,810,23,2.83950617283951
"Census Tract 6104","Cook County","Illinois","2.34%",244,3,48,4,299,7,2.34113712374582
"Census Tract 6108","Cook County","Illinois","1.50%",209,2,54,2,267,4,1.49812734082397
"Census Tract 6112","Cook County","Illinois","1.17%",274,3,63,1,341,4,1.17302052785924
"Census Tract 6113","Cook County","Illinois","1.42%",400,4,85,3,492,7,1.42276422764228
"Census Tract 6114","Cook County","Illinois","2.59%",421,8,106,6,541,14,2.58780036968577
"Census Tract 6115","Cook County","Illinois","0.80%",418,3,81,1,503,4,0.795228628230616
"Census Tract 6116","Cook County","Illinois","3.14%",194,4,53,4,255,8,3.13725490196078
"Census Tract 6117","Cook County","Illinois","0.81%",190,2,54,0,246,2,0.813008130081301
"Census Tract 6118","Cook County","Illinois","1.92%",192,4,63,1,260,5,1.92307692307692
"Census Tract 6119","Cook County","Illinois","3.02%",137,3,56,3,199,6,3.01507537688442
"Census Tract 6120","Cook County","Illinois","2.88%",96,2,39,2,139,4,2.87769784172662
"Census Tract 6121","Cook County","Illinois","0.00%",78,0,32,0,110,0,0
"Census Tract 6122","Cook County","Illinois","2.99%",402,10,84,5,501,15,2.9940119760479
"Census Tract 6201","Cook County","Illinois","2.01%",678,7,53,8,746,15,2.01072386058981
"Census Tract 6202","Cook County","Illinois","1.77%",338,2,50,5,395,7,1.77215189873418
"Census Tract 6203","Cook County","Illinois","0.76%",936,5,108,3,1052,8,0.760456273764259
"Census Tract 6204","Cook County","Illinois","0.59%",777,5,66,0,848,5,0.589622641509434
"Census Tract 6303","Cook County","Illinois","1.29%",656,5,107,5,773,10,1.29366106080207
"Census Tract 6304","Cook County","Illinois","0.90%",975,6,131,4,1116,10,0.896057347670251
"Census Tract 6305","Cook County","Illinois","0.89%",752,4,143,4,903,8,0.8859357696567
"Census Tract 6306","Cook County","Illinois","1.84%",387,3,93,6,489,9,1.84049079754601
"Census Tract 6308","Cook County","Illinois","1.35%",839,12,114,1,966,13,1.34575569358178
"Census Tract 6309","Cook County","Illinois","1.84%",677,9,69,5,760,14,1.84210526315789
"Census Tract 6401","Cook County","Illinois","2.37%",172,3,34,2,211,5,2.3696682464455
"Census Tract 6403","Cook County","Illinois","1.38%",1058,11,160,6,1235,17,1.37651821862348
"Census Tract 6404","Cook County","Illinois","1.69%",555,8,83,3,649,11,1.69491525423729
"Census Tract 6405","Cook County","Illinois","0.70%",598,3,115,2,718,5,0.696378830083565
"Census Tract 6406","Cook County","Illinois","1.33%",545,3,124,6,678,9,1.32743362831858
"Census Tract 6407","Cook County","Illinois","2.32%",507,8,83,6,604,14,2.31788079470199
"Census Tract 6408","Cook County","Illinois","0.33%",267,1,34,0,302,1,0.33112582781457
"Census Tract 6501","Cook County","Illinois","1.85%",641,11,101,3,756,14,1.85185185185185
"Census Tract 6502","Cook County","Illinois","1.25%",1009,12,173,3,1197,15,1.2531328320802
"Census Tract 6503.01","Cook County","Illinois","0.91%",875,9,104,0,988,9,0.910931174089069
"Census Tract 6503.02","Cook County","Illinois","0.86%",632,5,63,1,701,6,0.855920114122682
"Census Tract 6504","Cook County","Illinois","1.01%",977,5,105,6,1093,11,1.0064043915828
"Census Tract 6505","Cook County","Illinois","1.29%",603,8,85,1,697,9,1.29124820659971
"Census Tract 6603.01","Cook County","Illinois","0.49%",176,0,29,1,206,1,0.485436893203884
"Census Tract 6603.02","Cook County","Illinois","0.81%",634,2,100,4,740,6,0.810810810810811
"Census Tract 6604","Cook County","Illinois","0.93%",746,7,106,1,860,8,0.930232558139535
"Census Tract 6605","Cook County","Illinois","0.95%",624,4,102,3,733,7,0.954979536152797
"Census Tract 6606","Cook County","Illinois","2.07%",591,10,167,6,774,16,2.0671834625323
"Census Tract 6607","Cook County","Illinois","3.86%",147,3,52,5,207,8,3.86473429951691
"Census Tract 6608","Cook County","Illinois","1.40%",566,9,210,2,787,11,1.39771283354511
"Census Tract 6609","Cook County","Illinois","2.64%",340,8,102,4,454,12,2.6431718061674
"Census Tract 6610","Cook County","Illinois","1.48%",533,4,134,6,677,10,1.47710487444609
"Census Tract 6611","Cook County","Illinois","1.33%",767,8,125,4,904,12,1.32743362831858
"Census Tract 6701","Cook County","Illinois","4.46%",89,3,18,2,112,5,4.46428571428571
"Census Tract 6702","Cook County","Illinois","2.11%",71,1,22,1,95,2,2.10526315789474
"Census Tract 6703","Cook County","Illinois","0.79%",96,1,30,0,127,1,0.78740157480315
"Census Tract 6704","Cook County","Illinois","5.66%",109,4,41,5,159,9,5.66037735849057
"Census Tract 6705","Cook County","Illinois","0.00%",86,0,36,0,122,0,0
"Census Tract 6706","Cook County","Illinois","4.35%",82,5,28,0,115,5,4.34782608695652
"Census Tract 6707","Cook County","Illinois","1.01%",76,1,22,0,99,1,1.01010101010101
"Census Tract 6708","Cook County","Illinois","4.03%",68,2,51,3,124,5,4.03225806451613
"Census Tract 6709","Cook County","Illinois","3.96%",67,2,30,2,101,4,3.96039603960396
"Census Tract 6711","Cook County","Illinois","5.41%",49,2,21,2,74,4,5.40540540540541
"Census Tract 6712","Cook County","Illinois","3.16%",62,1,30,2,95,3,3.15789473684211
