Census Tract ,County ,State,percent,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,total,total same-sex
Census Tract 8380,Cook County,Illinois,6.12%,187,9,89,9,294,18
Census Tract 8381,Cook County,Illinois,3.26%,141,2,67,5,215,7
Census Tract 8382,Cook County,Illinois,4.35%,111,3,21,3,138,6
Census Tract 8383,Cook County,Illinois,4.07%,243,3,205,16,467,19
Census Tract 8386,Cook County,Illinois,4.40%,57,1,30,3,91,4
Census Tract 8387,Cook County,Illinois,2.82%,198,3,112,6,319,9
Census Tract 8388,Cook County,Illinois,2.62%,274,5,60,4,343,9
Census Tract 8390,Cook County,Illinois,6.00%,1511,63,668,76,2318,139
Census Tract 8391,Cook County,Illinois,6.81%,828,40,376,48,1292,88
Census Tract 8392,Cook County,Illinois,5.38%,228,6,71,11,316,17
Census Tract 8395,Cook County,Illinois,1.90%,170,3,37,1,211,4
Census Tract 8396,Cook County,Illinois,5.80%,170,6,41,7,224,13
Census Tract 8397,Cook County,Illinois,3.24%,659,13,148,14,834,27
Census Tract 8398,Cook County,Illinois,1.18%,394,4,108,2,508,6
Census Tract 8399,Cook County,Illinois,1.97%,754,15,142,3,914,18
Census Tract 8400,Cook County,Illinois,0.79%,558,3,72,2,635,5
Census Tract 8401,Cook County,Illinois,1.51%,480,4,43,4,531,8
Census Tract 8402,Cook County,Illinois,0.46%,409,0,27,2,438,2
Census Tract 8403,Cook County,Illinois,1.60%,651,11,89,1,752,12
Census Tract 8404,Cook County,Illinois,3.03%,524,11,84,8,627,19
Census Tract 8407,Cook County,Illinois,5.56%,426,15,135,18,594,33
Census Tract 8408,Cook County,Illinois,0.58%,424,1,90,2,517,3
Census Tract 8410,Cook County,Illinois,4.17%,147,7,60,2,216,9
Census Tract 8411,Cook County,Illinois,1.66%,1220,18,82,4,1324,22
Census Tract 8412,Cook County,Illinois,5.01%,578,15,200,26,819,41
Census Tract 8413,Cook County,Illinois,3.37%,532,8,157,16,713,24
Census Tract 8415,Cook County,Illinois,9.45%,110,8,72,11,201,19
Census Tract 8417,Cook County,Illinois,5.06%,115,4,35,4,158,8
Census Tract 8418,Cook County,Illinois,4.52%,141,5,49,4,199,9
Census Tract 8419,Cook County,Illinois,3.09%,606,8,178,17,809,25
Census Tract 8420,Cook County,Illinois,4.61%,130,2,15,5,152,7
Census Tract 8421,Cook County,Illinois,1.65%,618,8,217,6,849,14
Census Tract 8422,Cook County,Illinois,4.04%,511,11,273,22,817,33
Census Tract 8423,Cook County,Illinois,3.63%,547,17,197,11,772,28
Census Tract 8424,Cook County,Illinois,3.27%,257,6,68,5,336,11
Census Tract 8425,Cook County,Illinois,2.19%,59,1,75,2,137,3
Census Tract 8426,Cook County,Illinois,1.61%,596,10,137,2,745,12
Census Tract 8428,Cook County,Illinois,1.87%,963,10,192,12,1177,22
Census Tract 8429,Cook County,Illinois,4.63%,149,3,57,7,216,10
Census Tract 8430,Cook County,Illinois,4.55%,115,5,74,4,198,9
Census Tract 8431,Cook County,Illinois,2.36%,83,1,41,2,127,3
Census Tract 8432,Cook County,Illinois,1.55%,316,2,65,4,387,6
Census Tract 8433,Cook County,Illinois,5.88%,100,2,28,6,136,8
Census Tract 8434,Cook County,Illinois,2.82%,121,3,51,2,177,5
Census Tract 8435,Cook County,Illinois,6.29%,126,8,38,3,175,11
Census Tract 8436,Cook County,Illinois,4.14%,252,10,72,4,338,14
Census Tract 8437,Cook County,Illinois,2.75%,458,12,73,3,546,15
Census Tract 8438,Cook County,Illinois,2.95%,178,4,52,3,237,7
Census Tract 8439,Cook County,Illinois,6.31%,226,9,86,12,333,21
Census Tract 8446,Cook County,Illinois,2.90%,79,0,55,4,138,4
Census Tract 8447,Cook County,Illinois,2.87%,134,0,69,6,209,6
Census Tract 9800,Cook County,Illinois,0.00%,0,0,0,0,0,0
Census Tract 9801,Cook County,Illinois,0.00%,1,0,0,0,1,0
Census Tract 9900,Cook County,Illinois,0.00%,0,0,0,0,0,0
